time,data
14.24.19,25.84
14.24.21,39.12
14.24.23,37.51
14.24.25,42.31
14.24.27,52.23
14.24.29,24.94
14.24.31,45.5
14.24.33,49.84
14.24.35,60.42
14.24.37,49.88
14.24.39,39.92
14.24.41,51.44
14.24.43,25.32
14.42.10,44.63
14.42.12,43.39
14.42.14,59.74
14.42.16,46.97
14.42.18,48.83
14.42.20,65.72
14.42.22,33.07
14.42.24,32.48
14.42.26,63.32
14.42.28,55.6
14.42.30,41.76
14.42.32,44.46
14.42.34,32.04
14.42.36,60.94
14.42.38,24.82
14.42.40,39.82
14.42.42,62.7
14.42.44,40.76
14.42.46,54.8
14.42.48,55.03
14.43.43,23.31
14.43.53,42.75
14.44.3,34.98
14.44.13,35.51
14.44.23,24.1
14.44.33,35.01
14.44.44,39.71
